city_id,hotel_name,description,score,price,url,lat,lon
6,Hotel des Vosges,"L'Hotel des Vosges vous accueille dans le XXe arrondissement de Paris, à seulement 700 mètres du cimetière du Père Lachaise. Il vous propose une réception ouverte 24h/24 et une connexion Wi-Fi gratuite. La station de métro Ménilmontant, située à 95 mètres, vous permettra de rejoindre directement le Sacré Cœur.

Sobrement décorées, les chambres disposent toutes d'une télévision à écran plat, d'une armoire et du chauffage. Elles possèdent également une salle de bains privative.

Le matin, un petit-déjeuner continental vous sera servi dans la salle prévue à cet effet à l'Hotel des Vosges. Des restaurants vous attendent à quelques pas.

À pied depuis l'Hotel des Voges, vous rejoindrez le quartier très prisé d'Oberkampf en 5 minutes et le parc des Buttes Chaumont en 15 minutes. La gare du Nord est située sur la même ligne de métro et la gare de l'Est se trouve à 2,5 km. Vous bénéficierez de prix réduits pour le stationnement.",8.0,102,https://www.booking.com/hotel/fr/des-vosges-paris.fr.html,48.86777797,2.38290846
1,Le Héron,"Offrant une vue sur la rue calme, Le Héron est un hébergement situé à Huisnes-sur-Mer, à 12 km du Mont-Saint-Michel et à 19 km du Scriptorial d'Avranches, musee des manuscrits. du Mont Saint-Michel. Vous bénéficierez gratuitement d'un parking privé et d'une connexion Wi-Fi. Cet établissement non-fumeurs se trouve à 12 km de l'abbaye du Mont-Saint-Michel.

Cette maison de vacances comprend 3 chambres ainsi qu'une cuisine équipée d'un lave-vaisselle et d'un four. Il comprend une télévision à écran plat, un coin salon et 2 salles de bains pourvues d'une douche à l'italienne. Les serviettes et le linge de lit sont fournis. L'établissement possède un coin repas extérieur.

Vous séjournerez à 44 km de la gare de Granville et à 45 km du zoo de Champrepus. L'aéroport de Rennes-Saint-Jacques, le plus proche, est à 92 km.",8.5,137,https://www.booking.com/hotel/fr/le-heron-huisnes-sur-mer.fr.html,48.6100841,-1.4567376
1,Les Terrasses Poulard,"Occupant 2 bâtiments différents au cœur du Mont-Saint-Michel, l’établissement historique Les Terrasses Poulard propose des hébergements avec une vue sur la baie, le village et la rue.

Décorées dans un style moderne, les chambres sont accessibles par des escaliers. Certaines présentent de grandes fenêtres donnant sur la baie. Toutes sont dotées d’une télévision et d’une salle de bains privative.

Le petit-déjeuner est servi au restaurant La Confiance, à 2 minutes à pied. Spécialisé dans la cuisine française et régionale, il est également ouvert pour le déjeuner et le dîner. Vous pourrez également prendre vos repas, boissons et collations au restaurant La Confiance, sur place.

L’établissement Les Terrasses Poulard comporte un bar. La réception est ouverte 24h/24 et vous pourrez laisser vos bagages à la réception.

La région constitue un cadre idéal pour diverses activités telles que la pêche, le vélo et la randonnée à pied.",7.4,242,https://www.booking.com/hotel/fr/les-terrasses-poulard.fr.html,48.63534943,-1.51037872
5,Les Initiés,"Installé au cœur du centre historique de Rouen, l'établissement Les Initiés est situé à seulement 10 minutes à pied de la gare de Rouen-Rive-Droite et à 3 km du stade Kindarena. En face du palais de justice, il propose des chambres décorées de façon personnalisée avec une connexion Wi-Fi gratuite et une salle de bains privative.

Un petit-déjeuner continental vous sera servi tous les matins du lundi au samedi. Il est disponible le dimanche sur réservation. Offrant une vue sur le palais de justice, le bar-brasserie des Initiés prépare une cuisine régionale.

Le Gros-Horloge vous attend à seulement 150 mètres de l'Hôtel Les Initiés, tandis que la cathédrale Notre-Dame se trouve à 5 minutes à pied. L'emplacement de l'établissement est idéal pour découvrir la capitale historique de Normandie.",7.9,81,https://www.booking.com/hotel/fr/les-inities-rouen.fr.html,49.44197641,1.09243892
6,Ideal Hotel,"Situé à Paris, l'Ideal Hotel propose des hébergements simples équipés d'une télévision par câble à écran plat. Une connexion Wi-Fi est accessible gratuitement dans les parties communes. L'hôtel se trouve à 300 mètres de la station de métro Parmentier.

Les chambres de l'Ideal Hotel comprennent un bureau. Vous aurez accès à une salle de bains privative ou commune.

Le petit-déjeuner est servi chaque matin moyennant un supplément. Le quartier animé de l'établissement regroupe plusieurs bars et restaurants.

L'Ideal Hotel se situe à 2,5 km de la gare de Lyon et à 6 km de la tour Eiffel. L'aéroport de Paris-Charles-de-Gaulle se trouve à 20 km.",5.3,75,https://www.booking.com/hotel/fr/ideal-paris.fr.html,48.8676104,2.3754613
6,Printania Porte de Versailles,"Situé à 900 mètres du parc des expositions de la Porte de Versailles, l'hôtel Printania Porte de Versailles met à votre disposition une réception ouverte 24h/24, une bagagerie et un service d'étage.

Toutes les chambres sont équipées d'une télévision par satellite, d'un bureau et d'un téléphone. Leur salle de bains privative est pourvue d'une baignoire ou d'une douche et d'un sèche-cheveux.

Le Printania Porte de Versailles sert un petit-déjeuner continental. Il bénéficie d'un emplacement idéal, à proximité de nombreux restaurants, supermarchés et magasins.

Une connexion Wi-Fi est disponible moyennant des frais supplémentaires. La station de métro Convention se trouve à seulement 5 minutes à pied et permet d'accéder directement à la gare Montparnasse, à la place de la Concorde, à Saint-Lazare ainsi qu'à Montmartre. Une connexion Wi-Fi gratuite est accessible dans les parties communes et vous trouverez un parking à proximité.",5.7,87,https://www.booking.com/hotel/fr/printaniasaphir.fr.html,48.83406814,2.29533456
6,Résidence de Bourgogne,"Dotée d'un bar et offrant une vue sur la ville, la Résidence de Bourgogne propose un hébergement idéalement situé à Paris, à proximité du centre Pompidou, de la gare de l'Est et de la gare du Nord. Il propose un restaurant, une bagagerie, un service de ménage et une connexion Wi-Fi gratuite dans l'ensemble de ses locaux. Cet appart'hôtel propose des chambres familiales.

Les logements comprennent une télévision à écran plat ainsi qu'une salle de bains privative pourvue d'une douche et d'un sèche-cheveux. Leur kitchenette est équipée d'un micro-ondes, d'un réfrigérateur et de plaques de cuisson. Tous les logements disposent d'une entrée privée. Le linge de lit et les serviettes de toilette sont fournis.

Vous séjournerez à 2,1 km du musée du Louvre et à 2,2 km de l'opéra Garnier. L'aéroport de Paris-Orly, le plus proche, est à 19 km.",6.7,103,https://www.booking.com/hotel/fr/residence-de-bourgogne-paris1234567891011121314151617.fr.html,48.8698272,2.3557602
6,Hotel du Pré,"Le charmant 3 étoiles Hôtel du Pré, où le gérant s'assure lui-même de votre confort et de la décoration, possède une authentique touche d'élégance à la française.

Vous accueillant au cœur de Paris, dans une petite rue très calme, faisant face au square Montholon, cet établissement bénéficie d'un emplacement idéal, convenant aussi bien aux voyageurs d'affaires qu'aux touristes.

Toutes les chambres de l'Hôtel du Pré présentent leur propre style et un petit-déjeuner continental est servi tous les matins.

Rénové en 2005, l'hôtel propose des chambres fonctionnelles et de goût classique, aux couleurs douces et chaudes, en parfaite harmonie avec un mobilier au chic intemporel.",8.3,159,https://www.booking.com/hotel/fr/hoteldupre.fr.html,48.87752224,2.34706499
14,Chambre d'hôtes Le Petit Tertre,"L'établissement le Petit Tertre est situé dans le centre de Dijon, à 3 minutes à pied du palais des ducs de Bourgogne. Il propose une connexion Wi-Fi gratuite.

Tous les appartements sont entièrement équipés dans un style du XVIIIe siècle. L'appartement Empire de style Napoléon, offre une vue sur la cour.

Le petit-déjeuner peut être servi dans votre chambre.

L'établissement se trouve à quelques minutes de marche du musée des beaux-arts et de l'église Notre-Dame de Dijon.",8.9,112,https://www.booking.com/hotel/fr/le-petit-tertre.fr.html,47.32396148,5.04365131
7,La Parenthèse Envoutée,"L'établissement La Parenthèse Envoutée est situé à Amiens, à 500 mètres de la gare, à 3,9 km du Zénith et à 1,3 km du parc des jardins flottants. Vous profiterez d'une baignoire spa et d'un jacuzzi. Il propose un jacuzzi, une connexion Wi-Fi gratuite et des chambres familiales.

Les logements comprennent un coin salon, une télévision à écran plat avec des services de streaming, une kitchenette, un coin repas ainsi qu'une salle de bains privative pourvue de peignoirs, d'une douche à l'italienne et de chaussons. Un micro-ondes, un réfrigérateur, un minibar et une machine à café sont également fournis. Le linge de lit et les serviettes de toilette sont fournis.

Vous trouverez un café sur place et des paniers-repas sont également disponibles.

Vous séjournerez à 1,1 km du musée Berny et du tribunal de grande instance d'Amiens. L'aéroport de Beauvais-Tillé, le plus proche, est implanté à 65 km.",9.0,230,https://www.booking.com/hotel/fr/aux-caves.fr.html,49.8883391,2.31217084
